artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Zoé,1Ou8VdIw39ATdskqSnAaFo,Arrullo De Estrellas,0.462,0.76,5,-7.009,1,0.0355,0.324,0.235,0.0757,0.405,81.514,69,latin_alternative latin_rock mexican_rock morelos_indie rock_en_espanol,42,"['latin_alternative', 'latin_rock', 'mexican_rock', 'morelos_indie', 'rock_en_espanol']",low,Neutral
Sanctus Real,18QN5s8wxFP61qsKPLiBue,My God Is Still The Same,0.445,0.821,1,-5.146,1,0.136,0.0129,0.0,0.357,0.398,164.154,56,ccm christian_alternative_rock christian_music,61,"['ccm', 'christian_alternative_rock', 'christian_music']",low,Neutral
Inhaler,0VCpgkuUgYee2tWLVlSf6O,Totally,0.618,0.718,1,-7.494,1,0.0262,0.000303,0.00125,0.0863,0.371,97.029,51,dublin_indie,0,['dublin_indie'],high,Neutral
Conociendo Rusia,3AP3yFNoB0mdDh8DEaLCdL,La Luna,0.432,0.456,4,-7.259,1,0.029,0.132,0.000205,0.085,0.231,98.843,58,argentine_alternative_rock argentine_indie argentine_rock,41,"['argentine_alternative_rock', 'argentine_indie', 'argentine_rock']",low,Neutral
Yaşlı Amca,0jdfbvSdaWvxfAlD20TtNc,Sanki Yapamadım,0.442,0.567,8,-6.346,0,0.0516,0.238,0.000325,0.0852,0.639,138.616,56,turkish_alternative_rock turkish_rock,40,"['turkish_alternative_rock', 'turkish_rock']",low,Neutral
The Black Keys,02bJ6uGeHKfNOhIc9qyA8e,Wild Child,0.68,0.639,5,-6.233,0,0.0278,0.017,5.09e-06,0.0398,0.957,106.991,71,alternative_rock blues_rock garage_rock indie_rock indietronica modern_blues_rock modern_rock punk_blues rock,68,"['alternative_rock', 'blues_rock', 'garage_rock', 'indie_rock', 'indietronica', 'modern_blues_rock', 'modern_rock', 'punk_blues', 'rock']",high,Positive
Alice In Chains,6gZVQvQZOFpzIy3HblJ20F,Man in the Box,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,69,alternative_metal alternative_rock grunge hard_rock nu_metal rock,76,"['alternative_metal', 'alternative_rock', 'grunge', 'hard_rock', 'nu_metal', 'rock']",low,Neutral
Yüzyüzeyken Konuşuruz,56AD3PBYdPepniv4VtsV7s,Kendi Evimde Deplasmandayım,0.346,0.717,2,-7.727,0,0.138,0.347,0.0,0.225,0.838,182.498,61,turkish_alternative_rock turkish_rock,40,"['turkish_alternative_rock', 'turkish_rock']",low,Neutral
Zoé,6S2UlwxfsDpR5yqKaVASMv,Últimos Días,0.45,0.92,0,-4.162,1,0.0383,0.00117,0.123,0.128,0.438,145.608,69,latin_alternative latin_rock mexican_rock morelos_indie rock_en_espanol,41,"['latin_alternative', 'latin_rock', 'mexican_rock', 'morelos_indie', 'rock_en_espanol']",low,Neutral
Los Bunkers,1lSSSGxlchhDCPzL7LXk4Z,Miño,0.56,0.906,0,-4.808,1,0.0284,0.0648,5.91e-05,0.255,0.839,105.706,66,chilean_rock concepcion_indie latin_alternative latin_rock rock_en_espanol,45,"['chilean_rock', 'concepcion_indie', 'latin_alternative', 'latin_rock', 'rock_en_espanol']",low,Neutral
Luis Alberto Spinetta,2NXYLpZdCZ6qaqZlaMpDMd,No Te Alejes Tanto De Mí,0.783,0.292,2,-18.026,1,0.0404,0.164,0.00185,0.153,0.696,120.802,55,argentine_rock post-punk_argentina rock_nacional,47,"['argentine_rock', 'post-punk_argentina', 'rock_nacional']",low,Neutral
Ximena Sariñana,6GIQckKtzHYA8MHoRWRkcy,Sin Ti No Puede Estar Tan Mal,0.731,0.58,4,-6.91,0,0.0461,0.15,0.000599,0.189,0.59,108.038,60,cantautora_mexicana latin_alternative latin_pop mexican_pop mexican_rock,44,"['cantautora_mexicana', 'latin_alternative', 'latin_pop', 'mexican_pop', 'mexican_rock']",low,Neutral
Los Daniels,7zJEM93vCjyjy51XRI9klu,Te Puedes Matar,0.373,0.862,11,-11.931,1,0.0781,0.0052,1.05e-06,0.145,0.24,90.466,45,latin_alternative latin_rock mexican_rock rock_en_espanol,41,"['latin_alternative', 'latin_rock', 'mexican_rock', 'rock_en_espanol']",low,Neutral
Inhaler,0x37bUHqB4qJrJSr8iR2pO,Cheer Up Baby,0.462,0.914,8,-6.382,1,0.0416,0.00124,0.000125,0.0978,0.326,142.978,51,dublin_indie,0,['dublin_indie'],low,Neutral
Marilina Bertoldi,5BLXWjtErKV3De7MOtomI6,Es Poderoso,0.562,0.784,2,-7.147,1,0.0971,0.177,9.92e-05,0.0793,0.805,158.113,38,argentine_alternative_rock argentine_indie argentine_rock,35,"['argentine_alternative_rock', 'argentine_indie', 'argentine_rock']",low,Neutral
Los Caligaris,0Ki1LxOG8z8ywTCcUT3ugq,Tyson,0.526,0.884,5,-3.359,1,0.0757,0.0469,0.0,0.315,0.657,156.021,61,argentine_rock latin_alternative latin_rock rock_en_espanol ska_argentino,44,"['argentine_rock', 'latin_alternative', 'latin_rock', 'rock_en_espanol', 'ska_argentino']",low,Neutral
Detonautas Roque Clube,7aDLnVQ1Gvjh6Q0nc1rePd,Melhor Plantar o Bem,0.648,0.85,8,-5.323,1,0.0401,0.0861,1.43e-05,0.122,0.878,77.516,57,brazilian_rock pop_rock_brasileiro rock_alternativo_brasileiro,47,"['brazilian_rock', 'pop_rock_brasileiro', 'rock_alternativo_brasileiro']",low,Neutral
Joe Vasconcellos,6iv2RejVrtRlzbz6XfLD02,Ciudad Traicionera,0.497,0.311,4,-8.269,0,0.0523,0.673,0.0,0.105,0.33,169.007,50,chilean_rock cumbia_chilena folklore_chileno latin_alternative ska_chileno,39,"['chilean_rock', 'cumbia_chilena', 'folklore_chileno', 'latin_alternative', 'ska_chileno']",low,Neutral
Molotov,7hzeu43gNUoHwh5CQrl3Jk,Payaso,0.776,0.896,1,-5.035,0,0.232,0.35,1.29e-05,0.367,0.396,104.949,63,latin_alternative latin_hip_hop latin_rock mexican_hip_hop mexican_rock rock_en_espanol,46,"['latin_alternative', 'latin_hip_hop', 'latin_rock', 'mexican_hip_hop', 'mexican_rock', 'rock_en_espanol']",low,Neutral
Anthrax,6Boqs3NAzPMxyhztKZOIyi,Medusa,0.334,0.814,11,-14.175,0,0.0447,0.0247,0.000593,0.501,0.676,150.813,52,alternative_metal glam_metal groove_metal hard_rock metal nu_metal old_school_thrash rap_metal rock speed_metal thrash_metal,0,"['alternative_metal', 'glam_metal', 'groove_metal', 'hard_rock', 'metal', 'nu_metal', 'old_school_thrash', 'rap_metal', 'rock', 'speed_metal', 'thrash_metal']",low,Neutral
Caifanes,0qgDf2H3HHSfiANtWkZPXh,Será por Eso,0.457,0.774,4,-6.63,1,0.03,0.0719,1.67e-06,0.443,0.465,153.389,68,latin_alternative latin_pop latin_rock mexican_rock nu-cumbia rock_en_espanol rock_urbano_mexicano,46,"['latin_alternative', 'latin_pop', 'latin_rock', 'mexican_rock', 'nu-cumbia', 'rock_en_espanol', 'rock_urbano_mexicano']",low,Neutral
Anthrax,5DLN0LQbIAD28k53GJfRPq,Indians,0.349,0.983,4,-5.969,0,0.0564,0.00065,0.000892,0.0365,0.422,105.571,52,alternative_metal glam_metal groove_metal hard_rock metal nu_metal old_school_thrash rap_metal rock speed_metal thrash_metal,0,"['alternative_metal', 'glam_metal', 'groove_metal', 'hard_rock', 'metal', 'nu_metal', 'old_school_thrash', 'rap_metal', 'rock', 'speed_metal', 'thrash_metal']",low,Neutral
Detonautas Roque Clube,4PY23WVDXuHDHwhg0P7PDq,Só por hoje / Tenis Roque,0.471,0.796,7,-8.318,1,0.0423,0.0439,0.000226,0.712,0.339,178.063,57,brazilian_rock pop_rock_brasileiro rock_alternativo_brasileiro,41,"['brazilian_rock', 'pop_rock_brasileiro', 'rock_alternativo_brasileiro']",low,Neutral
